branching,resilience,strategy,mean_cost
0.2,5.0,AC,18.8903031663288
0.2,5.0,Hawkes-LQ-ψ,
0.2,1.0,AC,19.466867607163003
0.2,1.0,Hawkes-LQ-ψ,
0.2,0.1,AC,12.466696497908565
0.2,0.1,Hawkes-LQ-ψ,
0.5,5.0,AC,53.88998752276432
0.5,5.0,Hawkes-LQ-ψ,
0.5,1.0,AC,54.05411271614337
0.5,1.0,Hawkes-LQ-ψ,
0.5,0.1,AC,47.23674331586249
0.5,0.1,Hawkes-LQ-ψ,
0.8,5.0,AC,46.84409090699983
0.8,5.0,Hawkes-LQ-ψ,
0.8,1.0,AC,47.44305149024665
0.8,1.0,Hawkes-LQ-ψ,
0.8,0.1,AC,34.16396620119013
0.8,0.1,Hawkes-LQ-ψ,
