strategy,mean_cost,std_cost,VaR_95,max_drawdown,temp_cost,perm_cost
AC,34.1640,0.0001,31.0831,1.0000,0.7169,25.1731
Hawkes-LQ-ψ,,0.0001,,1000.0000,,
